layer,acc,n_test
0,0.32269503546099293,282
1,0.3546099290780142,282
2,0.3404255319148936,282
3,0.36879432624113473,282
4,0.38652482269503546,282
5,0.35815602836879434,282
6,0.36879432624113473,282
7,0.30851063829787234,282
8,0.31560283687943264,282
9,0.2872340425531915,282
10,0.24113475177304963,282
11,0.24468085106382978,282
